"filename", "language", "TypeScript", "JSON with Comments", "XML", "HTML", "JSON", "JavaScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\Workspace\Edu_Learn_Next\LMS_Cheating_Prevention_Report.md", "HTML", 0, 0, 0, 259, 0, 0, 0, 0, 0, 57, 316
"e:\Workspace\Edu_Learn_Next\MIGRATION_SUMMARY.md", "HTML", 0, 0, 0, 192, 0, 0, 0, 0, 0, 49, 241
"e:\Workspace\Edu_Learn_Next\NEXTJS_MIGRATION_COMPLETE.md", "HTML", 0, 0, 0, 163, 0, 0, 0, 0, 0, 30, 193
"e:\Workspace\Edu_Learn_Next\README.md", "HTML", 0, 0, 0, 23, 0, 0, 0, 0, 0, 14, 37
"e:\Workspace\Edu_Learn_Next\app\(root)\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 277, 0, 14, 15, 306
"e:\Workspace\Edu_Learn_Next\app\(root)\events\mock_data.ts", "TypeScript", 142, 0, 0, 0, 0, 0, 0, 0, 0, 12, 154
"e:\Workspace\Edu_Learn_Next\app\(root)\events\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 203, 0, 10, 24, 237
"e:\Workspace\Edu_Learn_Next\app\(root)\features\[type]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 7, 32
"e:\Workspace\Edu_Learn_Next\app\(root)\features\constants.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"e:\Workspace\Edu_Learn_Next\app\(root)\features\listening\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 520, 0, 48, 69, 637
"e:\Workspace\Edu_Learn_Next\app\(root)\features\vocabulary\[folderId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 412, 0, 15, 35, 462
"e:\Workspace\Edu_Learn_Next\app\(root)\features\vocabulary\flashcard\[folderId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 335, 0, 7, 33, 375
